spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Na_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,P_concentration_apparent,S_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Ti_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,Zr_concentration_apparent,W_concentration_apparent,Mo_concentration_apparent,Mn_concentration_apparent,Ar_concentration_apparent,Ba_concentration_apparent,Cl_concentration_apparent,U_concentration_apparent,F_concentration_apparent,Total:_concentration_apparent,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,P_wtper,S_wtper,K_wtper,Ca_wtper,Ti_wtper,Fe_wtper,Ag_wtper,Zr_wtper,W_wtper,Mo_wtper,Mn_wtper,Ar_wtper,Ba_wtper,Cl_wtper,U_wtper,F_wtper,Total:_wtper
15,point,138,rock,9.14,4.69,0.08,0.1,0.67,0.89,0,5.91,0.16,0.74,0.03,0.24,0.04,0.24,0,0,0,0,0,0,0,0,0,68.63,17.01,0.11,0.15,0.98,1.29,0,9.34,0.25,1.16,0.06,0.46,0.09,0.47,0,0,0,0,0,0,0,0,0
15,point,139,rock,10.27,3.65,0.15,0.06,0.11,0.18,0,7.02,0.08,0.55,0,0.12,0.05,0.26,0,0,0,0,0,0,0,0,0,73.49,13.47,0.19,0.09,0.15,0.25,0,10.59,0.12,0.84,0,0.23,0.11,0.48,0,0,0,0,0,0,0,0,0
15,point,140,rock,14.9,5.56,0.13,0.08,0.41,0.65,0,6.57,0.13,0.75,0,0.19,0.06,0,0,0,0,0,0,0,0,0,0,73.21,15.95,0.13,0.1,0.47,0.72,0,7.96,0.16,0.92,0,0.29,0.1,0,0,0,0,0,0,0,0,0,0
15,point,141,rock,0.5,1.17,0.08,0.03,0.59,1,0,1.37,0.17,0.36,0,0.79,0.06,0,0,0,0,0,0,0,0,0,0,38.85,19.71,0.66,0.29,5.11,8.71,0,12.9,1.49,3.24,0,8.34,0.7,0,0,0,0,0,0,0,0,0,0
15,point,142,rock,3.1,30.03,1.5,0.53,8.33,14.14,0,0.42,1.61,0.23,0.08,0.97,0.11,0,0,0,0,0,0,0,0,0,0,25.18,43.4,1.49,0.62,9.09,16.1,0,0.53,1.79,0.26,0.11,1.29,0.17,0,0,0,0,0,0,0,0,0,0
15,point,143,rock,14.17,30,0.14,0.47,6.99,9.47,0,1.51,1.08,0.41,0.1,0.78,0.18,0,0,0,0,0,0,0,0,0,0,47.61,36.62,0.09,0.36,5.08,6.96,0,1.2,0.8,0.3,0.09,0.7,0.18,0,0,0,0,0,0,0,0,0,0
15,point,144,rock,17.55,6.16,0.07,0.05,0.15,0.23,0,4.94,0.06,1.56,0,0.15,0.07,0.22,0,0,0,0,0,0,0,0,0,73.19,17.63,0.07,0.06,0.17,0.26,0,5.99,0.07,1.9,0,0.22,0.11,0.32,0,0,0,0,0,0,0,0,0
15,point,145,rock,0.09,0.05,0,0,0,0.01,0,0.01,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,27.52,16.61,0,0,0.74,0.74,0,0.77,0,0,0,0,53.62,0,0,0,0,0,0,0,0,0,0
15,point,146,rock,0.09,0.04,0,0,0.01,0.01,0,0.01,0,0,0,0.01,0.43,0,0,0,0,0,0,0,0,0,0,23.96,12.19,0,0,0.86,0.76,0,0.86,0,0,0,1.64,59.73,0,0,0,0,0,0,0,0,0,0
15,point,147,rock,0.14,0.06,0,0,0.01,0.01,0,0.01,0,0,0,0.02,0.47,0,0,0,0,0,0,0,0,0,0,29.67,14.72,0,0,0.86,0.59,0,0.74,0,0,0,1.57,51.85,0,0,0,0,0,0,0,0,0,0
15,point,148,rock,1.23,22.59,0.08,0.39,8.74,11.12,0,0.14,1.37,0.26,0.16,1.04,0.66,0,0,0,0,0,0,0.05,0,0,0,16.42,44.31,0.12,0.64,13.42,18.51,0,0.25,2.16,0.41,0.3,1.95,1.43,0,0,0,0,0,0,0.08,0,0,0
15,point,149,rock,5.6,30.05,0.1,0.48,8.21,11.69,0,1.05,1.39,0.86,0.07,1.03,0.11,0,0,0,0,0,0,0,0,0,0,33.37,41.91,0.09,0.48,7.85,11.56,0,1.13,1.35,0.84,0.08,1.21,0.14,0,0,0,0,0,0,0,0,0,0
15,point,150,rock,2.42,18.58,0.09,0.36,5.96,8.55,0,1.11,1,1.07,0.16,1.1,0,0,0,0,0,0,0,0,0,0,0,27.39,41.28,0.13,0.59,9.21,13.8,0,1.96,1.57,1.71,0.3,2.07,0,0,0,0,0,0,0,0,0,0,0
15,point,151,rock,8.69,11.94,0.15,0.31,4.98,9.83,0,2.14,0.71,0.9,0.09,1.06,0,0.5,0,0,0,0,0,0,0,0,0,52.6,24.86,0.14,0.34,5.14,10.37,0,2.53,0.77,0.99,0.12,1.4,0,0.74,0,0,0,0,0,0,0,0,0
15,point,152,rock,8.91,35.95,0.11,0.21,8.24,8.57,0,2.24,0.32,0.5,0.3,0.76,0.05,0,0,0,0,0,0,0,0,0,0,38.73,43.23,0.08,0.19,6.76,7.19,0,2.01,0.26,0.41,0.3,0.77,0.06,0,0,0,0,0,0,0,0,0,0
15,point,153,rock,19.54,23.01,0.22,0.29,3.66,6.09,0,3.05,0.75,1.71,0.04,0.78,0.05,0,0,0,0,0,0,0,0,0,0,55.99,31.67,0.15,0.22,2.65,4.36,0,2.36,0.55,1.27,0.04,0.7,0.05,0,0,0,0,0,0,0,0,0,0
15,point,154,mz84_seds,13.9,4.91,0,0.12,1.73,2.31,0,0.24,0.31,0.1,0,0.27,10.06,0,0,0,0,0,0,0.1,0.31,0,0,56.34,16.61,0,0.19,2.53,3.28,0,0.35,0.43,0.16,0,0.47,18.86,0,0,0,0,0,0,0.15,0.64,0,0
15,point,155,rock,17.9,11.24,0.17,0.11,0.73,0.91,2.35,4.17,0.13,4.35,0,0.23,0.09,0,0,0,0,0,0,0,0,0.99,0,62.99,23.81,0.15,0.11,0.69,0.84,1.48,4.14,0.12,4.24,0,0.27,0.12,0,0,0,0,0,0,0,0,1.05,0
15,point,156,mz84_seds,1.88,45.97,0,0.2,12.15,12.57,0,0.38,0.5,0.22,0.05,0.4,0,0,0,0,0,0,0,0,0,0,0,16.05,53.9,0,0.23,13.19,14.75,0,0.49,0.56,0.24,0.07,0.53,0,0,0,0,0,0,0,0,0,0,0
15,point,157,mz84_seds,11.85,5.78,0.05,0.14,0.7,0.79,0,3.02,0.13,2.01,0,0.2,0.06,0.19,0,0,0,0,0,0.05,0,0,0,67.4,20.84,0.07,0.23,1.06,1.17,0,4.87,0.2,3.21,0,0.4,0.12,0.37,0,0,0,0,0,0.08,0,0,0
15,point,158,rock,18.95,7.19,0.14,0.22,2.44,3.24,0,4.29,0.39,0.79,0.07,1.73,0.06,0.7,0,0,0,0,0,0,0,0,0,70.54,15.65,0.11,0.21,2.21,2.91,0,4.23,0.37,0.76,0.08,2.02,0.08,0.84,0,0,0,0,0,0,0,0,0
15,point,159,rock,0.38,1.84,0,0.04,1.74,3.33,0,0.66,0.48,0.45,0.28,0.72,0,0,0,0,0,0,0,0,0,0,0,25.46,21.95,0,0.28,10.87,22.3,0,5.01,3.21,3.05,2.21,5.66,0,0,0,0,0,0,0,0,0,0,0
15,point,160,rock,0.66,1.61,0.04,0.19,2.8,4.55,0.16,1.97,1.04,0.99,0.05,0.71,0.04,0,0,0,0,0,0,0,0,0,0,31.23,14.19,0.12,0.79,11.07,19.46,0.51,9.61,4.52,4.39,0.28,3.6,0.23,0,0,0,0,0,0,0,0,0,0
15,point,161,rock,0.04,0.48,0.01,0.01,0.27,0.43,0.04,0.06,0.28,1,0,0.84,0,0,0,0,0,0,0,0,0,0,0,6.72,21.83,0.25,0.2,6.95,10.64,0.7,1.64,6.12,22.54,0,22.39,0,0,0,0,0,0,0,0,0,0,0
15,point,162,mz84_seds,11.78,15.46,0.15,0.12,3.44,3.71,2.35,2.03,0.2,4.04,0,0.44,0,0,0,0,0,0,0,0,0,0.77,0,52.12,30.63,0.14,0.13,3.49,3.75,1.66,2.22,0.2,4.21,0,0.56,0,0,0,0,0,0,0,0,0,0.89,0
